salary,companyName,jobCategory,contractType,jobTitle,location
"Nie podano Count: 1045","LPP S.A. Count: 401","Sprzedaż Count: 300","Umowa o pracę Count: 470","Telefoniczny Doradca Klienta Count: 98","Warszawa Count: 289"
"2800zł Count: 4","CCIG Count: 222","Obsługa klienta Count: 271"," Count: 307","Specjalista ds. telefonicznej obsługi klienta Count: 11","Kraków Count: 110"
"18zł Count: 3","Accenture Count: 119","Finanse Count: 230","Umowa zlecenie Count: 282","Specjalista ds. telefonicznych konsultacji Count: 9","Gdańsk Count: 78"
"6000 - 7000zł Count: 2","Testronic Count: 34","Języki obce Count: 102","Umowa o pracę, umowa zlecenie Count: 14","Specjalista ds. obsługi klienta Count: 7","Wrocław Count: 68"
"5000 - 7000zł Count: 2","BNP Paribas Bank Polska Count: 26","IT i Programowanie Count: 54","Umowa B2B, umowa o pracę Count: 5","Doradca Klienta Biznesowego Count: 7","Katowice Count: 60"
