salary,companyName,jobCategory,contractType,jobTitle,location
"Nie podano Count: 1023","LPP S.A. Count: 470","Sprzedaż Count: 361","Umowa o pracę Count: 489","Telefoniczny Doradca Klienta Count: 71","Warszawa Count: 263"
" Count: 67","CCIG Count: 189","Obsługa klienta Count: 240"," Count: 377"," Count: 67","Kraków Count: 122"
"2800zł Count: 6","Accenture Count: 116","Finanse Count: 184","Umowa zlecenie Count: 256","Specjalista ds. telefonicznej obsługi klienta Count: 15","Gdańsk Count: 85"
"18zł Count: 5"," Count: 67","Języki obce Count: 104","Umowa o pracę, umowa zlecenie Count: 8","Specjalista ds. telefonicznych konsultacji Count: 10"," Count: 67"
"5000 - 7000zł Count: 2","Testronic Count: 37"," Count: 69","Umowa B2B, umowa o pracę, umowa zlecenie Count: 2","Junior Data Reviewer with English and German Count: 5","Wrocław Count: 67"
